audit_id,query_id,positive_id,positive_rank,partition,tfidf_cross_bin,bge_cross_bin,candidate_mapping
audit_017,4054::caption_0,4054,1,rank_1,medium,medium,"{""A"": ""24808"", ""B"": ""25006"", ""C"": ""25208"", ""D"": ""4054"", ""E"": ""12446""}"
audit_018,10557::caption_0,10557,1,rank_1,medium,medium,"{""A"": ""27606"", ""B"": ""22872"", ""C"": ""10557"", ""D"": ""11244"", ""E"": ""25205""}"
audit_019,15701::caption_4,15701,1,rank_1,medium,high,"{""A"": ""10801"", ""B"": ""24106"", ""C"": ""28190"", ""D"": ""15701"", ""E"": ""14821""}"
audit_020,21237::caption_1,21237,1,rank_1,medium,low,"{""A"": ""21237"", ""B"": ""10801"", ""C"": ""14388"", ""D"": ""30437"", ""E"": ""30420""}"
audit_021,19925::caption_0,19925,1,rank_1,medium,medium,"{""A"": ""27106"", ""B"": ""14303"", ""C"": ""20439"", ""D"": ""19925"", ""E"": ""12846""}"
audit_022,23283::caption_2,23283,1,rank_1,high,high,"{""A"": ""22477"", ""B"": ""628"", ""C"": ""23283"", ""D"": ""5013"", ""E"": ""7646""}"
audit_023,13943::caption_1,13943,1,rank_1,high,low,"{""A"": ""12483"", ""B"": ""11208"", ""C"": ""13943"", ""D"": ""19688"", ""E"": ""25866""}"
audit_024,3085::caption_3,3085,1,rank_1,high,high,"{""A"": ""25142"", ""B"": ""20129"", ""C"": ""3979"", ""D"": ""1145"", ""E"": ""3085""}"
audit_025,6992::caption_2,6992,1,rank_1,high,medium,"{""A"": ""6992"", ""B"": ""16709"", ""C"": ""7330"", ""D"": ""16208"", ""E"": ""18916""}"
audit_026,12483::caption_4,12483,1,rank_1,high,medium,"{""A"": ""22152"", ""B"": ""9079"", ""C"": ""12483"", ""D"": ""462"", ""E"": ""161""}"
audit_027,3203::caption_3,3203,1,rank_1,high,high,"{""A"": ""6666"", ""B"": ""16365"", ""C"": ""22872"", ""D"": ""3203"", ""E"": ""19743""}"
audit_028,10982::caption_4,10982,1,rank_1,high,high,"{""A"": ""14887"", ""B"": ""10982"", ""C"": ""29095"", ""D"": ""12984"", ""E"": ""419""}"
audit_029,6089::caption_4,6089,1,rank_1,high,high,"{""A"": ""8107"", ""B"": ""6089"", ""C"": ""4053"", ""D"": ""3096"", ""E"": ""19824""}"
audit_030,4906::caption_0,4906,1,rank_1,high,high,"{""A"": ""10214"", ""B"": ""15825"", ""C"": ""9724"", ""D"": ""10947"", ""E"": ""4906""}"
audit_031,1155::caption_4,1155,1,rank_1,high,medium,"{""A"": ""1155"", ""B"": ""11293"", ""C"": ""2605"", ""D"": ""7610"", ""E"": ""4280""}"
audit_032,16134::caption_3,16134,1,rank_1,high,medium,"{""A"": ""12968"", ""B"": ""6791"", ""C"": ""16134"", ""D"": ""3979"", ""E"": ""29277""}"
audit_033,29111::caption_2,29111,10,rank_2_10,low,medium,"{""A"": ""628"", ""B"": ""26609"", ""C"": ""1052"", ""D"": ""26811"", ""E"": ""29111"", ""F"": ""1716""}"
audit_034,8339::caption_0,8339,2,rank_2_10,low,low,"{""A"": ""10363"", ""B"": ""6248"", ""C"": ""22099"", ""D"": ""8339"", ""E"": ""25165""}"
audit_035,16632::caption_1,16632,10,rank_2_10,low,low,"{""A"": ""27357"", ""B"": ""12507"", ""C"": ""17030"", ""D"": ""26141"", ""E"": ""4768"", ""F"": ""16632""}"
audit_036,16811::caption_1,16811,5,rank_2_10,low,low,"{""A"": ""27560"", ""B"": ""16811"", ""C"": ""11208"", ""D"": ""29640"", ""E"": ""1616""}"
audit_037,27217::caption_1,27217,6,rank_2_10,low,low,"{""A"": ""27717"", ""B"": ""27217"", ""C"": ""18956"", ""D"": ""28087"", ""E"": ""25571"", ""F"": ""29365""}"
audit_038,4141::caption_0,4141,2,rank_2_10,low,medium,"{""A"": ""17216"", ""B"": ""12018"", ""C"": ""6248"", ""D"": ""4141"", ""E"": ""18440""}"
audit_039,29803::caption_1,29803,2,rank_2_10,low,medium,"{""A"": ""29803"", ""B"": ""5479"", ""C"": ""27571"", ""D"": ""5516"", ""E"": ""15616""}"
audit_040,19163::caption_2,19163,2,rank_2_10,low,low,"{""A"": ""15716"", ""B"": ""29843"", ""C"": ""19163"", ""D"": ""27707"", ""E"": ""12521""}"
audit_041,22038::caption_4,22038,4,rank_2_10,low,low,"{""A"": ""22038"", ""B"": ""4077"", ""C"": ""5479"", ""D"": ""22834"", ""E"": ""25226""}"
audit_042,5371::caption_2,5371,3,rank_2_10,low,high,"{""A"": ""282"", ""B"": ""11401"", ""C"": ""5371"", ""D"": ""10752"", ""E"": ""29509""}"
audit_043,14686::caption_4,14686,4,rank_2_10,low,medium,"{""A"": ""15506"", ""B"": ""14686"", ""C"": ""6318"", ""D"": ""20098"", ""E"": ""26811""}"
audit_044,28990::caption_0,28990,3,rank_2_10,medium,low,"{""A"": ""13597"", ""B"": ""28990"", ""C"": ""10244"", ""D"": ""28787"", ""E"": ""30369""}"
audit_045,10746::caption_3,10746,3,rank_2_10,medium,low,"{""A"": ""10746"", ""B"": ""21371"", ""C"": ""13332"", ""D"": ""3175"", ""E"": ""16655""}"
audit_046,14210::caption_0,14210,8,rank_2_10,medium,high,"{""A"": ""6557"", ""B"": ""29609"", ""C"": ""4734"", ""D"": ""14210"", ""E"": ""1520"", ""F"": ""6542""}"
audit_047,16412::caption_0,16412,8,rank_2_10,medium,medium,"{""A"": ""14199"", ""B"": ""16412"", ""C"": ""29277"", ""D"": ""15633"", ""E"": ""30385"", ""F"": ""3969""}"
audit_048,16353::caption_0,16353,2,rank_2_10,medium,medium,"{""A"": ""13261"", ""B"": ""1365"", ""C"": ""203"", ""D"": ""29505"", ""E"": ""16353""}"
audit_049,20284::caption_4,20284,5,rank_2_10,medium,high,"{""A"": ""12984"", ""B"": ""11497"", ""C"": ""14898"", ""D"": ""20284"", ""E"": ""7203""}"
audit_050,7016::caption_1,7016,2,rank_2_10,medium,low,"{""A"": ""20920"", ""B"": ""16923"", ""C"": ""16709"", ""D"": ""15636"", ""E"": ""7016""}"
audit_051,19743::caption_1,19743,3,rank_2_10,medium,medium,"{""A"": ""27732"", ""B"": ""19652"", ""C"": ""12483"", ""D"": ""19743"", ""E"": ""20171""}"
audit_052,13671::caption_4,13671,2,rank_2_10,medium,high,"{""A"": ""13671"", ""B"": ""15129"", ""C"": ""21612"", ""D"": ""16469"", ""E"": ""282""}"
audit_053,23953::caption_3,23953,6,rank_2_10,medium,low,"{""A"": ""30177"", ""B"": ""29884"", ""C"": ""1271"", ""D"": ""9174"", ""E"": ""20478"", ""F"": ""23953""}"
audit_054,24217::caption_4,24217,8,rank_2_10,medium,medium,"{""A"": ""21478"", ""B"": ""24905"", ""C"": ""22712"", ""D"": ""24217"", ""E"": ""118"", ""F"": ""25007""}"
audit_055,26923::caption_3,26923,6,rank_2_10,high,high,"{""A"": ""1520"", ""B"": ""26923"", ""C"": ""10014"", ""D"": ""18384"", ""E"": ""6505"", ""F"": ""6542""}"
audit_056,18854::caption_3,18854,2,rank_2_10,high,high,"{""A"": ""30420"", ""B"": ""29215"", ""C"": ""18854"", ""D"": ""3821"", ""E"": ""14430""}"
audit_057,18126::caption_4,18126,5,rank_2_10,high,high,"{""A"": ""18126"", ""B"": ""18618"", ""C"": ""4561"", ""D"": ""17212"", ""E"": ""26268""}"
audit_058,29843::caption_3,29843,6,rank_2_10,high,high,"{""A"": ""4561"", ""B"": ""15710"", ""C"": ""22291"", ""D"": ""29843"", ""E"": ""6063"", ""F"": ""27707""}"
audit_059,1081::caption_4,1081,5,rank_2_10,high,high,"{""A"": ""1081"", ""B"": ""10801"", ""C"": ""23372"", ""D"": ""5550"", ""E"": ""16726""}"
audit_060,7156::caption_2,7156,2,rank_2_10,high,high,"{""A"": ""7156"", ""B"": ""14001"", ""C"": ""13351"", ""D"": ""13094"", ""E"": ""5062""}"
audit_061,2527::caption_0,2527,2,rank_2_10,high,medium,"{""A"": ""7575"", ""B"": ""2527"", ""C"": ""18692"", ""D"": ""11570"", ""E"": ""28084""}"
audit_062,3375::caption_4,3375,8,rank_2_10,high,high,"{""A"": ""16434"", ""B"": ""3375"", ""C"": ""29215"", ""D"": ""29105"", ""E"": ""12812"", ""F"": ""16376""}"
audit_063,19530::caption_4,19530,2,rank_2_10,high,low,"{""A"": ""2749"", ""B"": ""23785"", ""C"": ""15574"", ""D"": ""19530"", ""E"": ""25866""}"
audit_064,27655::caption_1,27655,2,rank_2_10,high,medium,"{""A"": ""1933"", ""B"": ""608"", ""C"": ""11929"", ""D"": ""28292"", ""E"": ""27655""}"
audit_065,1155::caption_1,1155,2,rank_2_10,high,medium,"{""A"": ""11293"", ""B"": ""14938"", ""C"": ""7610"", ""D"": ""1155"", ""E"": ""4280""}"
audit_066,21639::caption_2,21639,13,outside_top_10,low,high,"{""A"": ""12483"", ""B"": ""22818"", ""C"": ""25295"", ""D"": ""22152"", ""E"": ""19905"", ""F"": ""21639""}"
audit_067,14998::caption_0,14998,16,outside_top_10,low,low,"{""A"": ""13420"", ""B"": ""14998"", ""C"": ""6542"", ""D"": ""28046"", ""E"": ""6377"", ""F"": ""14065""}"
audit_068,4480::caption_4,4480,38,outside_top_10,low,low,"{""A"": ""4480"", ""B"": ""511"", ""C"": ""6767"", ""D"": ""27394"", ""E"": ""6505"", ""F"": ""2147""}"
audit_069,22187::caption_0,22187,163,outside_top_10,low,low,"{""A"": ""22187"", ""B"": ""4561"", ""C"": ""27707"", ""D"": ""16541"", ""E"": ""17212"", ""F"": ""29640""}"
audit_070,462::caption_0,462,145,outside_top_10,low,low,"{""A"": ""19652"", ""B"": ""462"", ""C"": ""15800"", ""D"": ""22747"", ""E"": ""10885"", ""F"": ""6533""}"
audit_071,20098::caption_4,20098,26,outside_top_10,low,high,"{""A"": ""20098"", ""B"": ""30420"", ""C"": ""22216"", ""D"": ""15638"", ""E"": ""18854"", ""F"": ""12879""}"
audit_072,27834::caption_4,27834,233,outside_top_10,low,low,"{""A"": ""7900"", ""B"": ""1516"", ""C"": ""9985"", ""D"": ""27560"", ""E"": ""27834"", ""F"": ""2388""}"
audit_073,1943::caption_3,1943,39,outside_top_10,low,low,"{""A"": ""20598"", ""B"": ""25007"", ""C"": ""6143"", ""D"": ""22916"", ""E"": ""1943"", ""F"": ""4860""}"
audit_074,28046::caption_1,28046,46,outside_top_10,low,high,"{""A"": ""5304"", ""B"": ""19141"", ""C"": ""2089"", ""D"": ""28046"", ""E"": ""18813"", ""F"": ""4917""}"
audit_075,18504::caption_3,18504,127,outside_top_10,low,low,"{""A"": ""19253"", ""B"": ""9273"", ""C"": ""20495"", ""D"": ""462"", ""E"": ""18504"", ""F"": ""21179""}"
audit_076,20361::caption_3,20361,64,outside_top_10,low,low,"{""A"": ""20711"", ""B"": ""20361"", ""C"": ""422"", ""D"": ""25007"", ""E"": ""16917"", ""F"": ""27643""}"
audit_077,18127::caption_3,18127,142,outside_top_10,medium,high,"{""A"": ""3304"", ""B"": ""15638"", ""C"": ""4917"", ""D"": ""1103"", ""E"": ""15547"", ""F"": ""18127""}"
audit_078,15291::caption_1,15291,26,outside_top_10,medium,low,"{""A"": ""20198"", ""B"": ""11827"", ""C"": ""16917"", ""D"": ""15291"", ""E"": ""23693"", ""F"": ""21951""}"
audit_079,2522::caption_2,2522,33,outside_top_10,medium,low,"{""A"": ""9774"", ""B"": ""28435"", ""C"": ""12521"", ""D"": ""2522"", ""E"": ""27560"", ""F"": ""26268""}"
audit_080,19165::caption_1,19165,28,outside_top_10,medium,medium,"{""A"": ""21625"", ""B"": ""30177"", ""C"": ""4011"", ""D"": ""13654"", ""E"": ""19165"", ""F"": ""30369""}"
audit_081,27478::caption_0,27478,22,outside_top_10,medium,medium,"{""A"": ""25295"", ""B"": ""24232"", ""C"": ""3434"", ""D"": ""19652"", ""E"": ""27478"", ""F"": ""13760""}"
audit_082,27732::caption_3,27732,16,outside_top_10,medium,medium,"{""A"": ""27732"", ""B"": ""27101"", ""C"": ""22261"", ""D"": ""19652"", ""E"": ""22152"", ""F"": ""11208""}"
audit_083,18127::caption_0,18127,81,outside_top_10,medium,high,"{""A"": ""4917"", ""B"": ""18618"", ""C"": ""26268"", ""D"": ""3304"", ""E"": ""1103"", ""F"": ""18127""}"
audit_084,3836::caption_4,3836,314,outside_top_10,medium,high,"{""A"": ""8115"", ""B"": ""25762"", ""C"": ""6110"", ""D"": ""16221"", ""E"": ""3836"", ""F"": ""1212""}"
audit_085,6143::caption_1,6143,46,outside_top_10,medium,low,"{""A"": ""16664"", ""B"": ""6143"", ""C"": ""900"", ""D"": ""16632"", ""E"": ""20401"", ""F"": ""30040""}"
audit_086,22811::caption_1,22811,28,outside_top_10,medium,high,"{""A"": ""27937"", ""B"": ""12280"", ""C"": ""9985"", ""D"": ""14585"", ""E"": ""24314"", ""F"": ""22811""}"
audit_087,10963::caption_1,10963,60,outside_top_10,medium,high,"{""A"": ""23998"", ""B"": ""10963"", ""C"": ""22099"", ""D"": ""4917"", ""E"": ""5304"", ""F"": ""29492""}"
audit_088,13347::caption_3,13347,78,outside_top_10,high,medium,"{""A"": ""1478"", ""B"": ""5711"", ""C"": ""21147"", ""D"": ""20853"", ""E"": ""13347"", ""F"": ""8194""}"
audit_089,377::caption_3,377,31,outside_top_10,high,low,"{""A"": ""15296"", ""B"": ""377"", ""C"": ""21478"", ""D"": ""25731"", ""E"": ""17243"", ""F"": ""4743""}"
audit_090,20098::caption_3,20098,32,outside_top_10,high,high,"{""A"": ""20098"", ""B"": ""2089"", ""C"": ""15638"", ""D"": ""6278"", ""E"": ""12879"", ""F"": ""8777""}"
audit_091,4054::caption_3,4054,27,outside_top_10,high,medium,"{""A"": ""15291"", ""B"": ""4054"", ""C"": ""23953"", ""D"": ""24251"", ""E"": ""17956"", ""F"": ""23598""}"
audit_092,1740::caption_4,1740,51,outside_top_10,high,high,"{""A"": ""17645"", ""B"": ""8777"", ""C"": ""13311"", ""D"": ""22185"", ""E"": ""26316"", ""F"": ""1740""}"
audit_093,14898::caption_1,14898,34,outside_top_10,high,high,"{""A"": ""12984"", ""B"": ""14898"", ""C"": ""15506"", ""D"": ""4917"", ""E"": ""5304"", ""F"": ""10741""}"
audit_094,18813::caption_4,18813,17,outside_top_10,high,medium,"{""A"": ""18813"", ""B"": ""7723"", ""C"": ""9154"", ""D"": ""23283"", ""E"": ""6055"", ""F"": ""6582""}"
audit_095,22187::caption_3,22187,21,outside_top_10,high,high,"{""A"": ""19163"", ""B"": ""15710"", ""C"": ""22187"", ""D"": ""21091"", ""E"": ""15716"", ""F"": ""15800""}"
audit_096,23968::caption_2,23968,279,outside_top_10,high,high,"{""A"": ""20838"", ""B"": ""22872"", ""C"": ""19175"", ""D"": ""23968"", ""E"": ""22642"", ""F"": ""843""}"
audit_097,12075::caption_4,12075,11,outside_top_10,high,medium,"{""A"": ""26186"", ""B"": ""21336"", ""C"": ""6257"", ""D"": ""20165"", ""E"": ""12075"", ""F"": ""7843""}"
audit_098,19905::caption_4,19905,28,outside_top_10,high,high,"{""A"": ""12202"", ""B"": ""19688"", ""C"": ""19905"", ""D"": ""26841"", ""E"": ""4141"", ""F"": ""21671""}"
audit_099,17216::caption_4,17216,1,rank_1,low,medium,"{""A"": ""10266"", ""B"": ""4641"", ""C"": ""3115"", ""D"": ""390"", ""E"": ""17216""}"
