model_id,label,kind,dataset,metric,n,mean,sd,min,max
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,overall_accuracy,1,0.8242577314376831,0.0,0.8242577314376831,0.8242577314376831
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,positive_score,1,0.3013154529833616,0.0,0.3013154529833616,0.3013154529833616
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,negative_score,1,0.27462081100100794,0.0,0.27462081100100794,0.27462081100100794
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,score_margin,1,0.026694641982353634,0.0,0.026694641982353634,0.026694641982353634
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,accuracy/add_att,1,0.7861271500587463,0.0,0.7861271500587463,0.7861271500587463
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,accuracy/add_obj,1,0.8724539279937744,0.0,0.8724539279937744,0.8724539279937744
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,accuracy/replace_att,1,0.8553299307823181,0.0,0.8553299307823181,0.8553299307823181
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,accuracy/replace_obj,1,0.9437046051025391,0.0,0.9437046051025391,0.9437046051025391
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,accuracy/replace_rel,1,0.7019914388656616,0.0,0.7019914388656616,0.7019914388656616
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,accuracy/swap_att,1,0.7147147059440613,0.0,0.7147147059440613,0.7147147059440613
mobileclip2_s0_dfndr2b,mobileclip2_s0_dfndr2b,reference,sugarcrepe,accuracy/swap_obj,1,0.6204081773757935,0.0,0.6204081773757935,0.6204081773757935
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,overall_accuracy,1,0.8503528237342834,0.0,0.8503528237342834,0.8503528237342834
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,positive_score,1,0.1441819581580478,0.0,0.1441819581580478,0.1441819581580478
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,negative_score,1,0.12231905029243723,0.0,0.12231905029243723,0.12231905029243723
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,score_margin,1,0.021862907865610567,0.0,0.021862907865610567,0.021862907865610567
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,accuracy/add_att,1,0.8265895843505859,0.0,0.8265895843505859,0.8265895843505859
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,accuracy/add_obj,1,0.9010668992996216,0.0,0.9010668992996216,0.9010668992996216
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,accuracy/replace_att,1,0.8604061007499695,0.0,0.8604061007499695,0.8604061007499695
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,accuracy/replace_obj,1,0.9521791934967041,0.0,0.9521791934967041,0.9521791934967041
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,accuracy/replace_rel,1,0.7375533580780029,0.0,0.7375533580780029,0.7375533580780029
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,accuracy/swap_att,1,0.7657657861709595,0.0,0.7657657861709595,0.7657657861709595
siglip2_vit_b32_256_webli,siglip2_vit_b32_256_webli,reference,sugarcrepe,accuracy/swap_obj,1,0.6489796042442322,0.0,0.6489796042442322,0.6489796042442322
